V,I_alpha_B+0.5,I_alpha_B0,I_alpha_B-0.5
0.012999999999999998,1.0036203539035636e-08,1.1580234852733428e-08,1.2352250509582322e-08
0.013999999999999999,1.775636010752459e-08,1.1580234852733428e-08,6.9481409116400565e-09
0.015,2.1616438391769067e-08,1.62123287938268e-08,1.930039142122238e-08
0.016,1.62123287938268e-08,1.2352250509582322e-08,2.7792563646560226e-08
0.017,2.1616438391769067e-08,1.930039142122238e-08,1.775636010752459e-08
0.018000000000000002,2.084442273492017e-08,2.2388454048617958e-08,2.3160469705466856e-08
0.019000000000000003,1.6984344450675694e-08,1.775636010752459e-08,1.5440313136977905e-08
0.01999999999999999,1.4668297480129009e-08,2.084442273492017e-08,2.007240707807127e-08
0.02099999999999999,2.1616438391769067e-08,2.6248532332862434e-08,1.3124266166431217e-08
0.021999999999999992,1.0808219195884534e-08,2.2388454048617958e-08,1.4668297480129009e-08
0.022999999999999993,1.8528375764373483e-08,2.856457930340912e-08,2.856457930340912e-08
0.023999999999999994,2.856457930340912e-08,3.16526419308047e-08,2.7792563646560226e-08
0.024999999999999994,1.930039142122238e-08,3.474070455820028e-08,2.2388454048617958e-08
0.025999999999999995,2.3160469705466856e-08,2.9336594960258018e-08,1.930039142122238e-08
0.026999999999999996,2.084442273492017e-08,1.3124266166431217e-08,1.3124266166431217e-08
0.027999999999999997,2.007240707807127e-08,2.5476516676013543e-08,1.930039142122238e-08
0.028999999999999998,3.088062627395581e-08,2.5476516676013543e-08,2.4704501019164645e-08
0.03,2.9336594960258018e-08,3.628473587189807e-08,1.930039142122238e-08
0.031,3.16526419308047e-08,3.16526419308047e-08,2.5476516676013543e-08
0.032,2.702054798971133e-08,3.860078284244476e-08,3.3196673244502493e-08
0.033,2.3932485362315747e-08,2.1616438391769067e-08,2.084442273492017e-08
0.034,2.3160469705466856e-08,2.3160469705466856e-08,2.4704501019164645e-08
0.035,2.4704501019164645e-08,3.16526419308047e-08,2.007240707807127e-08
0.036000000000000004,2.5476516676013543e-08,3.088062627395581e-08,2.007240707807127e-08
0.037000000000000005,2.2388454048617958e-08,2.2388454048617958e-08,3.3196673244502493e-08
0.038000000000000006,2.7792563646560226e-08,3.551272021504918e-08,2.4704501019164645e-08
0.03900000000000001,2.856457930340912e-08,2.5476516676013543e-08,3.16526419308047e-08
0.04000000000000001,3.860078284244476e-08,2.1616438391769067e-08,2.2388454048617958e-08
0.04100000000000001,2.1616438391769067e-08,2.702054798971133e-08,3.088062627395581e-08
0.04200000000000001,2.856457930340912e-08,2.856457930340912e-08,2.7792563646560226e-08
0.04300000000000001,2.3932485362315747e-08,3.010861061710691e-08,2.702054798971133e-08
0.04400000000000001,3.16526419308047e-08,2.702054798971133e-08,3.24246575876536e-08
0.044999999999999984,3.088062627395581e-08,3.474070455820028e-08,3.010861061710691e-08
0.045999999999999985,3.551272021504918e-08,3.7056751528746966e-08,3.3196673244502493e-08
0.046999999999999986,2.6248532332862434e-08,2.9336594960258018e-08,2.3932485362315747e-08
0.04799999999999999,3.24246575876536e-08,3.088062627395581e-08,2.9336594960258018e-08
0.04899999999999999,2.9336594960258018e-08,3.551272021504918e-08,3.628473587189807e-08
0.04999999999999999,3.7056751528746966e-08,3.551272021504918e-08,2.856457930340912e-08
0.05099999999999999,3.396868890135139e-08,3.396868890135139e-08,2.9336594960258018e-08
0.05199999999999999,3.7828767185595867e-08,3.3196673244502493e-08,3.860078284244476e-08
0.05299999999999999,3.551272021504918e-08,2.856457930340912e-08,3.551272021504918e-08
0.05399999999999999,3.088062627395581e-08,3.16526419308047e-08,3.7056751528746966e-08
0.05499999999999999,2.9336594960258018e-08,3.088062627395581e-08,3.3196673244502493e-08
0.055999999999999994,4.014481415614254e-08,4.246086112668923e-08,3.16526419308047e-08
0.056999999999999995,4.014481415614254e-08,3.396868890135139e-08,3.7056751528746966e-08
0.057999999999999996,4.3232876783538134e-08,2.5476516676013543e-08,3.088062627395581e-08
0.059,4.014481415614254e-08,4.014481415614254e-08,4.246086112668923e-08
0.06,3.860078284244476e-08,4.400489244038702e-08,4.0916829812991444e-08
0.061,4.246086112668923e-08,4.632093941093371e-08,4.014481415614254e-08
0.062,3.396868890135139e-08,3.7828767185595867e-08,3.7828767185595867e-08
0.063,4.246086112668923e-08,3.396868890135139e-08,3.937279849929365e-08
0.064,2.856457930340912e-08,3.937279849929365e-08,3.937279849929365e-08
0.065,4.0916829812991444e-08,4.0916829812991444e-08,3.474070455820028e-08
0.066,3.551272021504918e-08,4.0916829812991444e-08,3.860078284244476e-08
